-3.287484354528109887e-02	-7.147245275329139336e-02	-3.825212349739862214e-03
-3.580067391403790600e-02	-7.113410796214751641e-02	-4.081939024005064136e-03
-4.115749059039438412e-02	-6.817661648659102680e-02	-4.529792132273969922e-03
-4.531017584920790653e-02	-6.090956968770307178e-02	-5.211304129528513719e-03
-4.869566021587383442e-02	-5.347849547170939466e-02	-5.846459476771196338e-03
-5.283566707742678309e-02	-4.765950592187405410e-02	-6.662418350261857525e-03
-5.628147623804196503e-02	-4.168938454131690396e-02	-7.616241890863071837e-03
-5.878355434280387731e-02	-3.696802705873220019e-02	-8.581715745535636874e-03
-5.967755497739522103e-02	-3.268892756045581327e-02	-9.511050529250376223e-03
-5.930381760552730364e-02	-2.861083944192589074e-02	-1.031775691023931359e-02
-5.690968040316307652e-02	-2.669152882948511163e-02	-1.104501661488881299e-02
-5.426341476672935649e-02	-2.334791033589716375e-02	-1.159079398061004136e-02
-4.426224251410058180e-02	-1.975711347776086188e-02	-1.217530172258609981e-02
-3.726915163061347153e-02	-1.814835037072996468e-02	-1.216250748888207320e-02
-3.004691549660867128e-02	-1.671137200561150296e-02	-1.201134442182444188e-02
-2.195430738040749646e-02	-1.594301999769764944e-02	-1.164067380389592968e-02
-1.274615520436252550e-02	-1.500344571759328061e-02	-1.079474822082115808e-02
-6.336994994857248105e-03	-1.327294058666466346e-02	-1.034518791118007111e-02
-1.298166781090578092e-14	-1.247364861116373805e-02	-1.011199483760575994e-02
