4.630575180368182719e-01	1.260757986904710668e-03	2.851755421454953924e-03	2.677802337418708212e-02
5.330575180368182231e-01	1.201191569825016273e-03	2.718119879508108447e-03	2.642517056976223522e-02
6.130575180368182941e-01	1.289185300215150249e-03	2.829022891974335586e-03	2.630358533658681136e-02
6.930575180368182542e-01	1.270374175988620924e-03	2.927924603448873054e-03	2.819396413482263414e-02
7.830575180368182231e-01	1.178240290287123218e-03	3.577457024699875424e-03	3.768114422134135472e-02
8.730575180368181920e-01	1.261173741848954644e-03	3.274459394143749286e-03	3.266810845274455144e-02
9.730575180368182808e-01	9.684247424195034344e-04	3.377862914456352793e-03	4.011884797609077680e-02
1.073057518036818259e+00	1.592204091833033641e-03	3.578011739722240792e-03	3.112866150937890208e-02
1.173057518036818347e+00	1.301893945138214584e-03	2.987554646157049212e-03	2.795061546750246192e-02
1.283057518036818445e+00	1.040468161667222700e-03	3.279534361589863702e-03	3.616751941176916257e-02
1.393057518036818321e+00	1.283039640921404632e-03	3.581166701319743375e-03	3.791636893734714325e-02
1.513057518036818427e+00	1.188480888024742070e-03	3.326550921620496665e-03	3.753983330729152024e-02
1.633057518036818312e+00	9.732163546012751560e-04	3.110998789905465491e-03	3.800838315855374627e-02
1.763057518036818427e+00	1.042174767949050149e-03	3.163412690024163237e-03	3.675407782485204389e-02
1.893057518036818321e+00	9.489605285976949068e-04	3.093514249503423897e-03	3.799207426256757253e-02
2.033057518036818223e+00	1.088875212077539990e-03	3.225680306474084692e-03	3.521237434039831138e-02
2.173057518036818347e+00	1.047419673472859032e-03	3.842008899169262106e-03	4.470892026865416757e-02
2.323057518036818259e+00	9.865264332939130583e-04	3.804727065816600803e-03	4.512835218597652936e-02
2.473057518036818170e+00	1.101879771803895370e-03	3.250236773023712413e-03	3.559920856141218781e-02
2.633057518036818312e+00	9.657298779924811507e-04	3.803168831741127361e-03	4.888700737588955181e-02
2.793057518036818454e+00	9.114797892656157328e-04	4.269561892708386222e-03	5.538911965509624863e-02
2.963057518036818383e+00	1.191958096457603313e-03	3.749623722822885419e-03	4.244602830468431620e-02
3.133057518036818312e+00	1.261284363498283226e-03	4.307081177973901172e-03	4.801729253393441366e-02
3.313057518036818472e+00	1.086810359653073068e-03	3.128391130246632821e-03	3.725130401385762235e-02
3.492057518036818298e+00	1.387137186934167023e-03	3.373831137171746930e-03	3.393475137457638291e-02
3.683057518036818134e+00	1.794932629448218976e-03	4.180502326482492086e-03	3.704041178945787632e-02
3.873057518036818525e+00	9.191504311714299201e-04	3.079167333481503972e-03	3.712447377885005895e-02
4.073057518036818259e+00	1.308222999439291687e-03	4.089603257102105913e-03	4.568726939560779909e-02
4.273057518036817548e+00	1.398318478809954966e-03	3.307014766621634710e-03	3.307817164120904069e-02
4.493057518036818188e+00	1.402175161484942251e-03	3.127652502008034831e-03	2.796582961062514527e-02
