-1.160764152589366521e-01	-8.810632073899275774e-02	-2.524818003122658670e-03
-1.445532699492895479e-01	-1.007154103151527702e-01	-5.088146592537039388e-03
-1.611191797233783030e-01	-1.059768494442011044e-01	-7.758026250293354083e-03
-1.675703289507260718e-01	-1.110146418689591102e-01	-1.029715817998106721e-02
-1.697723717782221031e-01	-1.186300146695353080e-01	-1.198558610187768110e-02
-1.663634650742464305e-01	-1.230977286737395676e-01	-1.307874849191233840e-02
-1.601145151437179670e-01	-1.307346501122660376e-01	-1.337453511577580377e-02
-1.496829878405224468e-01	-1.406084605417872724e-01	-1.366963981214412358e-02
-1.354989274825506573e-01	-1.485234480447878425e-01	-1.301608259707304899e-02
-1.159654645175167559e-01	-1.501292985656230150e-01	-1.238792173526570735e-02
-9.069886885223112094e-02	-1.450816356637096849e-01	-1.228519424889941945e-02
-6.736586248851959835e-02	-1.345070847394004565e-01	-1.229054576810106533e-02
-4.218455740297905737e-02	-1.202819014560743693e-01	-1.139212229025499297e-02
-1.822711459000708398e-02	-1.072338125372125639e-01	-1.015357320407062058e-02
5.073648673239477234e-03	-8.652113093977405189e-02	-8.385079849937403587e-03
